"Country,Other",Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,"Serious, Critical",Tot Cases/ 1M pop,Deaths/ 1M pop,Total Tests,Tests/ 1M pop,Population
199,Antigua and Barbuda,"8,641",,141 ,,"8,447",,53,1,"86,807","1,416","18,901","189,878"
200,Guinea-Bissau,"8,348",,171 ,,"8,105",,72,6,"4,051",83,"143,249","69,519"
201,Comoros,"8,100",,160 ,,"7,933",,7,,"8,936",177,,
202,Sierra Leone,"7,695",,125 ,,N/A,N/A,N/A,,927,15,"259,958","31,321"
203,Liberia,"7,497",,294 ,,"5,747",,"1,456",2,"1,416",56,"139,824","26,410"
204,Chad,"7,425",,193 ,,"4,874",,"2,358",,428,11,"191,341","11,019"
205,St. Vincent Grenadines,"7,019",,112 ,,"6,641",,266,,"62,871","1,003","100,241","897,887"
206,British Virgin Islands,"6,941",,63 ,,N/A,N/A,N/A,1,"226,593","2,057","104,909","3,424,817"
207,Turks and Caicos,"6,219",,36 ,,"6,131",,52,4,"156,413",905,"521,408","13,113,883"
208,Saint Kitts and Nevis,"6,065",,43 ,,"5,879",,143,,"112,423",797,"98,847","1,832,264"
209,Sao Tome and Principe,"6,043",,73 ,,"5,950",,20,,"26,591",321,"29,036","127,765"
210,Cook Islands,"5,774",,1 ,,"5,764",,9,,"328,143",57,"19,618","1,114,912"
211,Palau,"5,220",,6 ,,"4,564",,650,1,"285,777",328,"60,524","3,313,479"
212,St. Barth,"4,630",,6 ,,N/A,N/A,N/A,,"465,935",604,"78,646","7,914,461"
213,Anguilla,"3,456",,9 ,,"3,426",,21,4,"226,326",589,"51,382","3,364,898"
214,Nauru,"3,398",, ,,17,,"3,381",,"310,036",,"9,890","902,372"
215,Kiribati,"3,236",,13 ,,"2,665",,558,3,"26,288",106,,
216,Saint Pierre Miquelon,"2,779",,1 ,,"2,449",,329,1,"484,315",174,"24,116","4,202,858"
217,Falkland Islands,"1,815",, ,,N/A,N/A,N/A,,"492,939",,"8,632","2,344,378"
218,Montserrat,"1,018",,8 ,,"1,008",,2,,"203,681","1,601","13,811","2,763,305"
220,Wallis and Futuna,454,,7 ,,438,,9,,"41,851",645,"20,508","1,890,487"
221,Macao,264,, ,,83,,181,,396,,"6,311","9,462"
222,Micronesia,38,, ,,33,,5,,324,,"21,923","186,701"
225,Niue,17,+2, ,,10,+1,7,,"10,316",,,
228,Tuvalu,3,, ,,,,3,,248,,,
230,China,"225,675",+37,"5,226 ",,"220,023",+43,426,1,157,4,"160,000,000","111,163"
,Total:,"552,797,007","+150,425","6,358,276",+303,"528,021,770","+170,519","18,416,961","36,813","70,918.7",815.7,,
